task_id,project_id,employee_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,required_skill,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
T347,P00008,EMP002,Dashboard Development,,,In Progress,,2026-10-27,,,,30,,
T348,P00017,EMP050,Data Analysis,,,In Progress,,2026-11-23,,,,51,,
T349,P00045,EMP032,Frontend Development,,,Not Started,,2026-09-09,,,,1,,
T350,P00029,EMP012,Security Testing,,,Completed,,2026-09-05,,,,95,,
T351,P00043,EMP023,API Development,,,In Progress,,2026-11-03,,,,53,,
T352,P00011,EMP046,Dashboard Development,,,In Progress,,2026-12-04,,,,43,,
T353,P00008,EMP013,Registration Module,,,Completed,,2026-09-24,,,,90,,
T354,P00024,EMP036,System Design,,,In Progress,,2026-10-11,,,,85,,
T355,P00009,EMP040,API Development,,,In Progress,,2026-09-02,,,,76,,
T356,P00034,EMP027,Deployment,,,In Progress,,2026-12-08,,,,31,,
T357,P00021,EMP042,API Development,,,In Progress,,2026-10-21,,,,81,,
T358,P00023,EMP009,Requirements Analysis,,,In Progress,,2026-11-14,,,,31,,
T359,P00028,EMP033,Database Design,,,Not Started,,2026-12-09,,,,2,,
T360,P00020,EMP011,Dashboard Development,,,On Hold,,2026-10-05,,,,24,,
T361,P00023,EMP034,Report Generation,,,Not Started,,2026-12-11,,,,3,,
T362,P00041,EMP036,Data Analysis,,,Completed,,2026-09-10,,,,99,,
T363,P00035,EMP006,User Acceptance Testing,,,In Progress,,2026-11-15,,,,34,,
T364,P00011,EMP043,Integration Testing,,,On Hold,,2026-11-25,,,,31,,
T365,P00037,EMP003,UI Design,,,Not Started,,2026-09-04,,,,10,,
T366,P00050,EMP037,Data Analysis,,,In Progress,,2026-11-16,,,,68,,
T367,P00040,EMP041,UI Design,,,On Hold,,2026-10-27,,,,44,,
T368,P00019,EMP042,Report Generation,,,In Progress,,2026-10-25,,,,66,,
T369,P00020,EMP030,API Development,,,Not Started,,2026-11-21,,,,7,,
T370,P00027,EMP031,Security Testing,,,In Progress,,2026-09-20,,,,33,,
T371,P00021,EMP046,Testing,,,Cancelled,,2026-11-26,,,,22,,
T372,P00026,EMP009,Bug Fixing,,,In Progress,,2026-10-29,,,,55,,
T373,P00016,EMP030,Login Module,,,In Progress,,2026-09-28,,,,33,,
T374,P00007,EMP004,Report Generation,,,On Hold,,2026-10-13,,,,36,,
T375,P00016,EMP011,Testing,,,In Progress,,2026-12-22,,,,55,,
T376,P00013,EMP049,Dashboard Development,,,Cancelled,,2026-10-27,,,,29,,
T377,P00032,EMP020,Performance Testing,,,Not Started,,2026-08-27,,,,6,,
T378,P00033,EMP030,Backend Development,,,In Progress,,2026-09-21,,,,21,,
T379,P00004,EMP019,Performance Testing,,,On Hold,,2026-11-09,,,,51,,
T380,P00044,EMP031,Report Generation,,,Not Started,,2026-11-01,,,,1,,
T381,P00028,EMP009,Data Analysis,,,In Progress,,2026-11-26,,,,66,,
T382,P00024,EMP003,Documentation,,,In Progress,,2026-08-31,,,,39,,
T383,P00024,EMP036,Report Generation,,,In Progress,,2026-09-03,,,,72,,
T384,P00049,EMP036,Data Analysis,,,Cancelled,,2026-12-08,,,,43,,
T385,P00040,EMP008,Registration Module,,,In Progress,,2026-09-06,,,,58,,
T386,P00036,EMP024,Registration Module,,,Completed,,2026-09-19,,,,96,,
T387,P00033,EMP003,Database Design,,,Not Started,,2026-08-29,,,,5,,
T388,P00031,EMP034,Security Testing,,,Completed,,2026-09-13,,,,98,,
T389,P00009,EMP021,Integration Testing,,,In Progress,,2026-10-04,,,,53,,
T390,P00038,EMP022,User Acceptance Testing,,,In Progress,,2026-12-09,,,,77,,
T391,P00046,EMP037,Report Generation,,,Completed,,2026-10-24,,,,95,,
T392,P00022,EMP044,Login Module,,,In Progress,,2026-10-17,,,,18,,
T393,P00039,EMP031,Data Analysis,,,Completed,,2026-11-16,,,,99,,
T394,P00037,EMP015,Database Design,,,In Progress,,2026-11-07,,,,82,,
T395,P00041,EMP047,Integration Testing,,,Completed,,2026-12-02,,,,92,,
T396,P00044,EMP016,Database Design,,,On Hold,,2026-11-06,,,,17,,
T397,P00013,EMP002,Security Testing,,,In Progress,,2026-10-04,,,,67,,
T398,P00045,EMP014,Deployment,,,Completed,,2026-10-28,,,,97,,
T399,P00048,EMP047,Database Design,,,Not Started,,2026-11-23,,,,3,,
T400,P00036,EMP021,Performance Testing,,,In Progress,,2026-10-31,,,,37,,
T401,P00030,EMP035,Testing,,,In Progress,,2026-11-02,,,,48,,
T402,P00040,EMP031,Frontend Development,,,In Progress,,2026-09-25,,,,53,,
T403,P00015,EMP020,Report Generation,,,In Progress,,2026-11-23,,,,77,,
T404,P00021,EMP031,Bug Fixing,,,On Hold,,2026-11-04,,,,60,,
T405,P00047,EMP018,Report Generation,,,In Progress,,2026-09-09,,,,84,,
T406,P00025,EMP026,Bug Fixing,,,Completed,,2026-12-01,,,,94,,
T407,P00003,EMP019,API Development,,,On Hold,,2026-10-08,,,,51,,
T408,P00017,EMP048,Performance Testing,,,In Progress,,2026-09-21,,,,83,,
T409,P00018,EMP036,Data Analysis,,,Not Started,,2026-09-11,,,,9,,
T410,P00016,EMP016,Database Design,,,On Hold,,2026-11-18,,,,24,,
T411,P00041,EMP015,Database Design,,,In Progress,,2026-09-06,,,,75,,
T412,P00007,EMP044,Registration Module,,,Cancelled,,2026-08-25,,,,10,,
T413,P00027,EMP042,Performance Testing,,,Completed,,2026-10-25,,,,94,,
T414,P00021,EMP019,Database Design,,,Completed,,2026-12-19,,,,100,,
T415,P00037,EMP015,Requirements Analysis,,,Completed,,2026-11-27,,,,90,,
T416,P00012,EMP027,Dashboard Development,,,On Hold,,2026-12-22,,,,63,,
T417,P00026,EMP032,Dashboard Development,,,Completed,,2026-12-22,,,,94,,
T418,P00003,EMP001,Report Generation,,,Completed,,2026-11-05,,,,95,,
T419,P00019,EMP030,Requirements Analysis,,,In Progress,,2026-10-31,,,,32,,
T420,P00033,EMP030,Data Analysis,,,Completed,,2026-09-18,,,,95,,
T421,P00011,EMP047,Security Testing,,,In Progress,,2026-11-15,,,,38,,
T422,P00001,EMP048,Testing,,,In Progress,,2026-12-04,,,,39,,
T423,P00012,EMP040,Documentation,,,In Progress,,2026-12-08,,,,56,,
T424,P00006,EMP026,Login Module,,,Cancelled,,2026-09-17,,,,30,,
T425,P00021,EMP016,UI Design,,,In Progress,,2026-09-27,,,,72,,
T426,P00049,EMP018,Testing,,,In Progress,,2026-10-02,,,,16,,
T427,P00017,EMP042,Bug Fixing,,,In Progress,,2026-11-21,,,,30,,
T428,P00030,EMP020,Dashboard Development,,,Completed,,2026-10-15,,,,94,,
T429,P00045,EMP008,Report Generation,,,Completed,,2026-10-11,,,,93,,
T430,P00009,EMP031,Registration Module,,,Completed,,2026-10-22,,,,99,,
T431,P00024,EMP027,Requirements Analysis,,,In Progress,,2026-12-19,,,,83,,
T432,P00043,EMP014,Backend Development,,,Completed,,2026-11-20,,,,91,,
T433,P00034,EMP029,User Acceptance Testing,,,In Progress,,2026-11-23,,,,29,,
T434,P00004,EMP036,User Acceptance Testing,,,In Progress,,2026-09-19,,,,34,,
T435,P00011,EMP021,User Acceptance Testing,,,Not Started,,2026-10-20,,,,3,,
T436,P00046,EMP038,Performance Testing,,,On Hold,,2026-09-05,,,,38,,
T437,P00004,EMP030,Registration Module,,,In Progress,,2026-10-29,,,,22,,
T438,P00036,EMP030,Report Generation,,,Not Started,,2026-11-25,,,,4,,
T439,P00001,EMP048,Frontend Development,,,Not Started,,2026-11-07,,,,6,,
T440,P00023,EMP045,API Development,,,Cancelled,,2026-11-02,,,,4,,
T441,P00031,EMP003,Report Generation,,,In Progress,,2026-10-16,,,,32,,
T442,P00050,EMP042,Deployment,,,Cancelled,,2026-10-11,,,,24,,
T443,P00029,EMP025,Documentation,,,Completed,,2026-09-04,,,,100,,
T444,P00035,EMP009,Bug Fixing,,,In Progress,,2026-09-09,,,,83,,
T445,P00026,EMP034,Registration Module,,,Cancelled,,2026-11-26,,,,0,,
T446,P00049,EMP002,Report Generation,,,Completed,,2026-10-23,,,,98,,
T447,P00028,EMP035,Documentation,,,In Progress,,2026-12-08,,,,73,,
T448,P00023,EMP010,Data Analysis,,,On Hold,,2026-09-18,,,,56,,
T449,P00049,EMP008,Database Design,,,Completed,,2026-12-06,,,,99,,
T450,P00050,EMP002,Backend Development,,,Not Started,,2026-09-20,,,,9,,
T451,P00003,EMP029,Integration Testing,,,Completed,,2026-11-19,,,,90,,
T452,P00016,EMP048,Database Design,,,In Progress,,2026-10-15,,,,84,,
T453,P00014,EMP049,Database Design,,,In Progress,,2026-09-11,,,,52,,
T454,P00015,EMP047,System Design,,,In Progress,,2026-10-04,,,,56,,
T455,P00016,EMP020,Registration Module,,,In Progress,,2026-11-17,,,,67,,
T456,P00020,EMP018,Database Design,,,On Hold,,2026-11-04,,,,66,,
T457,P00048,EMP012,Deployment,,,In Progress,,2026-11-04,,,,59,,
T458,P00042,EMP043,Documentation,,,In Progress,,2026-12-03,,,,68,,
T459,P00027,EMP010,Report Generation,,,In Progress,,2026-10-12,,,,83,,
T460,P00031,EMP016,Backend Development,,,On Hold,,2026-10-02,,,,19,,
T461,P00030,EMP004,Requirements Analysis,,,Cancelled,,2026-10-16,,,,35,,
T462,P00034,EMP009,Documentation,,,In Progress,,2026-09-25,,,,57,,
T463,P00042,EMP006,Security Testing,,,In Progress,,2026-12-11,,,,83,,
T464,P00047,EMP013,Database Design,,,In Progress,,2026-09-28,,,,20,,
T465,P00005,EMP013,System Design,,,Completed,,2026-11-25,,,,93,,
T466,P00031,EMP014,Testing,,,Cancelled,,2026-10-02,,,,0,,
T467,P00014,EMP013,Login Module,,,Cancelled,,2026-11-28,,,,30,,
T468,P00016,EMP045,Integration Testing,,,In Progress,,2026-11-23,,,,45,,
T469,P00036,EMP021,Report Generation,,,In Progress,,2026-10-12,,,,60,,
T470,P00020,EMP017,Bug Fixing,,,On Hold,,2026-10-29,,,,39,,
T471,P00007,EMP047,Performance Testing,,,Completed,,2026-11-30,,,,93,,
T472,P00024,EMP021,Deployment,,,In Progress,,2026-08-30,,,,43,,
T473,P00048,EMP010,UI Design,,,In Progress,,2026-09-27,,,,68,,
T474,P00019,EMP010,Frontend Development,,,In Progress,,2026-10-06,,,,46,,
T475,P00032,EMP036,Testing,,,Completed,,2026-09-26,,,,97,,
T476,P00047,EMP042,Performance Testing,,,In Progress,,2026-10-22,,,,60,,
T477,P00011,EMP009,Requirements Analysis,,,In Progress,,2026-10-26,,,,84,,
T478,P00042,EMP004,User Acceptance Testing,,,Completed,,2026-08-29,,,,91,,
T479,P00043,EMP004,UI Design,,,Not Started,,2026-10-16,,,,10,,
T480,P00015,EMP005,Registration Module,,,In Progress,,2026-08-26,,,,73,,
T481,P00024,EMP004,Integration Testing,,,Completed,,2026-11-14,,,,99,,
T482,P00031,EMP043,Performance Testing,,,Not Started,,2026-08-27,,,,8,,
T483,P00027,EMP001,UI Design,,,Completed,,2026-10-31,,,,98,,
T484,P00019,EMP002,User Acceptance Testing,,,Completed,,2026-12-07,,,,96,,
T485,P00012,EMP007,Login Module,,,Not Started,,2026-10-31,,,,3,,
T486,P00040,EMP034,Data Analysis,,,In Progress,,2026-12-07,,,,65,,
T487,P00006,EMP024,Documentation,,,In Progress,,2026-10-22,,,,43,,
T488,P00020,EMP044,API Development,,,Cancelled,,2026-11-16,,,,41,,
T489,P00049,EMP003,API Development,,,In Progress,,2026-10-15,,,,85,,
T490,P00031,EMP004,UI Design,,,In Progress,,2026-11-22,,,,78,,
T491,P00028,EMP042,Testing,,,Cancelled,,2026-11-05,,,,6,,
T492,P00034,EMP003,Backend Development,,,On Hold,,2026-09-21,,,,54,,
T493,P00037,EMP031,Data Analysis,,,On Hold,,2026-08-30,,,,53,,
T494,P00018,EMP035,System Design,,,Not Started,,2026-11-17,,,,5,,
T495,P00002,EMP014,System Design,,,Completed,,2026-09-12,,,,96,,
T496,P00005,EMP020,Dashboard Development,,,In Progress,,2026-11-05,,,,64,,
T497,P00044,EMP035,Testing,,,Completed,,2026-10-13,,,,92,,
T498,P00045,EMP047,API Development,,,Completed,,2026-10-28,,,,95,,
T499,P00004,EMP007,Deployment,,,Completed,,2026-09-23,,,,95,,
T500,P00039,EMP050,Integration Testing,,,In Progress,,2026-11-09,,,,56,,
